ML1G000200	KOG4535
ML1G041200	KOG2938
ML1G041700	KOG1221
ML1G041900	KOG1221
ML1G042100	KOG3243
ML1G042200	KOG1322
ML1G042400	KOG0829
ML1G043200	KOG3909
ML1G043500	KOG1441
ML1G043600	KOG0691
ML1G043700	KOG3267
ML1G043800	KOG0934
ML1G044100	KOG3436
ML1G044500	KOG2202
ML1G045100	KOG0149
ML1G045200	KOG1279
ML1G045500	KOG1430
ML1G045600	KOG1543
ML1G046500	KOG0998
ML1G047700	KOG2970
ML1G048100	KOG0698
ML1G048500	KOG0998
ML1G048600	KOG0998
ML1G048700	KOG0381
ML1G048800	KOG2342
ML1G049000	KOG1187
ML1G049100	KOG1187
ML1G049400	KOG0907
ML1G049600	KOG0653
ML1G049700	KOG4276
ML1G049800	KOG1441
ML1G050000	KOG0171
ML1G050100	KOG2649
ML1G050200	KOG0565
ML1G050300	KOG1187
ML1G050500	KOG0331
ML1G050600	KOG3367
ML1G050900	KOG0394
ML1G051600	KOG2554
ML1G051700	KOG3158
ML1G051900	KOG0874
ML1G052000	KOG1187
ML1G052200	KOG1236
ML1G052400	KOG2741
ML1G052600	KOG4555
ML1G052900	KOG4555
ML1G053200	KOG1187
ML1G053500	KOG1603
ML1G053600	KOG2988
ML1G053900	KOG1752
ML1G054000	KOG0715
ML1G054400	KOG0235
ML1G054800	KOG4532
ML1G055200	KOG1267
ML1G055300	KOG1267
ML1G055700	KOG0548
ML1G056100	KOG0819
ML1G056200	KOG4207
ML1G056300	KOG4207
ML1G056500	KOG0752
ML1G056600	KOG4112
ML1G056700	KOG2265
ML1G056900	KOG1454
ML1G057000	KOG0841
ML1G057100	KOG2640
ML1G057500	KOG0149
ML1G057900	KOG0059
ML1G058200	KOG2130
ML1G058300	KOG0841
ML1G058600	KOG3057
ML1G058900	KOG0937
ML1G059100	KOG1870
ML1G059100	KOG1873
ML1G059200	KOG4287
ML1G059300	KOG4287
ML1G059600	KOG0131
ML1G059600	KOG4206
ML1G059900	KOG0937
ML1G060100	KOG4271
ML1G061000	KOG3246
ML1G061200	KOG0192
ML1G061300	KOG0907
ML1G062200	KOG1609
ML1G062300	KOG2667
ML1G062500	KOG0583
ML1G063100	KOG3357
ML1G063200	KOG1895
ML1G063300	KOG1347
ML1G063500	KOG1187
ML1G063700	KOG1187
ML1G063900	KOG1303
ML1G064600	KOG3455
ML1G064900	KOG4372
ML1G065000	KOG0773
ML1G066200	KOG0152
ML1G066800	KOG2048
ML1G067100	KOG2770
ML1G067300	KOG2344
ML1G067500	KOG1700
ML1G067800	KOG2071
ML1G067900	KOG4283
ML1G068200	KOG1454
ML1G068700	KOG2842
ML1G068800	KOG4501
ML1G069000	KOG1712
ML1G069200	KOG1555
ML1G069500	KOG1944
ML1G069600	KOG2341
ML1G069700	KOG3490
ML1G070300	KOG0156
ML1G070600	KOG1187
ML1G070700	KOG0156
ML1G071100	KOG1187
ML1G071200	KOG0156
ML1G071300	KOG0156
ML1G071500	KOG0156
ML1G071600	KOG1187
ML1G071700	KOG1187
ML1G071900	KOG4658
ML1G072000	KOG4658
ML1G072200	KOG4658
ML1G072300	KOG4658
ML1G072500	KOG4658
ML1G072600	KOG4658
ML1G072900	KOG0156
ML1G073000	KOG0156
ML1G073100	KOG0156
ML1G073200	KOG0156
ML1G073500	KOG1187
ML1G073600	KOG4658
ML1G073700	KOG4658
ML1G073900	KOG4658
ML1G074000	KOG4658
ML1G074100	KOG4658
ML1G074400	KOG4658
ML1G074600	KOG1187
ML1G074700	KOG0654
ML1G075400	KOG1470
ML1G075500	KOG1187
ML1G075700	KOG1493
ML1G075800	KOG1624
ML1G075900	KOG1153
ML1G076200	KOG1153
ML1G076300	KOG1153
ML1G076500	KOG1153
ML1G076700	KOG1153
ML1G076800	KOG0156
ML1G076900	KOG0123
ML1G077400	KOG1187
ML1G077900	KOG1543
ML1G078100	KOG1688
ML1G078200	KOG3211
ML1G078300	KOG1947
ML1G078400	KOG0656
ML1G078500	KOG1592
ML1G078600	KOG0048
ML1G078700	KOG3001
ML1G079100	KOG1100
ML1G079200	KOG0627
ML1G079900	KOG2216
ML1G080500	KOG4170
ML1G080800	KOG0254
ML1G081000	KOG0698
ML1G081200	KOG2521
ML1G081500	KOG2923
ML1G081800	KOG1515
ML1G081900	KOG0513
ML1G082000	KOG2029
ML1G082100	KOG4480
ML1G082300	KOG0148
ML1G083200	KOG0171
ML1G083300	KOG3236
ML1G083400	KOG1187
ML1G083500	KOG0286
ML1G083500	KOG0313
ML1G083500	KOG0645
ML1G083800	KOG0325
ML1G084500	KOG0700
ML1G084700	KOG1315
ML1G084800	KOG4412
ML1G085200	KOG0533
ML1G085500	KOG1735
ML1G085600	KOG1754
ML1G086200	KOG1581
ML1G086300	KOG1433
ML1G086300	KOG1564
ML1G086400	KOG1433
ML1G086400	KOG1564
ML1G086600	KOG3436
ML1G086800	KOG4412
ML1G087700	KOG1187
ML1G088100	KOG4280
ML1G088900	KOG0610
ML1G089000	KOG1187
ML1G089100	KOG1433
ML1G089400	KOG2068
ML1G089600	KOG0032
ML1G089700	KOG4467
ML1G089800	KOG1237
ML1G089900	KOG1237
ML1G090300	KOG3246
ML1G090500	KOG1549
ML1G090900	KOG3668
ML1G091100	KOG3344
ML1G091200	KOG1812
ML1G091300	KOG1812
ML1G091400	KOG1812
ML1G091500	KOG3366
ML1G091600	KOG1187
ML1G092400	KOG2557
ML1G093000	KOG3106
ML1G093500	KOG2169
ML1G093600	KOG4670
ML1G094300	KOG0421
ML1G094900	KOG0583
ML1G095100	KOG1609
ML1G095200	KOG1192
ML1G095700	KOG0223
ML1G095900	KOG0886
ML1G096500	KOG0483
ML1G096900	KOG3493
ML1G097200	KOG1441
ML1G097400	KOG1254
ML1G097800	KOG3049
ML1G098100	KOG2718
ML1G098200	KOG1030
ML1G098300	KOG1339
ML1G098500	KOG2533
ML1G098600	KOG2533
ML1G099000	KOG2468
ML1G099200	KOG3386
ML1G099400	KOG4658
ML1G099600	KOG1603
ML1G100200	KOG3229
ML1G100400	KOG0546
ML1G100500	KOG1021
ML1G102300	KOG1744
ML1G102400	KOG3484
ML1G102800	KOG4172
ML1G103100	KOG1744
ML1G103500	KOG1339
ML1G103800	KOG2662
ML1G104100	KOG1429
ML1G104200	KOG1751
ML1G104800	KOG1303
ML1G105100	KOG2202
ML1G105900	KOG1187
ML1G106400	KOG3348
ML1G107000	KOG3217
ML1G107300	KOG3449
ML1G107500	KOG1221
ML1G107600	KOG1221
ML1G107700	KOG1221
ML1G108200	KOG1454
ML1G108600	KOG3346
ML1G108700	KOG1454
ML1G108900	KOG1570
ML1G109000	KOG1570
ML1G109800	KOG0806
ML1G111200	KOG2868
ML1G112000	KOG4174
ML1G112200	KOG1664
ML1G112400	KOG0304
ML1G112600	KOG2577
ML1G113300	KOG1603
ML1G114400	KOG1344
ML1G114500	KOG1187
ML1G114600	KOG0589
ML1G114900	KOG1792
ML1G115500	KOG1441
ML1G115600	KOG0712
ML1G115700	KOG0712
ML1G116200	KOG0374
ML1G116300	KOG1150
ML1G116400	KOG2351
ML1G116500	KOG1493
ML1G116800	KOG1515
ML1G117300	KOG4400
ML1G117500	KOG1653
ML1G117900	KOG2179
ML1G118400	KOG2295
ML1G118700	KOG0455
ML1G118900	KOG0274
ML1G119100	KOG0048
ML1G119300	KOG2371
ML1G119500	KOG1187
ML1G119800	KOG3307
ML1G119900	KOG0653
ML1G120500	KOG1668
ML1G120700	KOG0148
ML1G120700	KOG4205
ML1G121200	KOG0027
ML1G121800	KOG0583
ML1G121900	KOG1187
ML1G122400	KOG1444
ML1G122900	KOG0114
ML1G123000	KOG0032
ML1G123200	KOG4271
ML1G123500	KOG2726
ML1G123700	KOG2443
ML1G123900	KOG1427
ML1G124000	KOG1427
ML1G124100	KOG4096
ML1G124200	KOG2862
ML1G125200	KOG3943
ML1G125300	KOG0421
ML1G125400	KOG0472
ML1G125500	KOG0472
ML1G125700	KOG0472
ML1G126000	KOG0472
ML1G126100	KOG0472
ML1G126200	KOG0472
ML1G126300	KOG2178
ML1G126600	KOG1614
ML1G126800	KOG0130
ML1G127300	KOG0550
ML1G127400	KOG1187
ML1G127500	KOG2029
ML1G127700	KOG1871
ML1G128000	KOG0472
ML1G128100	KOG0472
ML1G128200	KOG0472
ML1G128400	KOG0472
ML1G128500	KOG0472
ML1G129700	KOG0472
ML1G129900	KOG0472
ML1G130000	KOG0472
ML1G130300	KOG4569
ML1G130400	KOG1502
ML1G130600	KOG0157
ML1G130800	KOG0032
ML1G131000	KOG2927
ML1G131100	KOG1561
ML1G131300	KOG4211
ML1G131600	KOG0048
ML1G131700	KOG2805
ML1G131800	KOG1191
ML1G132600	KOG0749
ML1G132800	KOG2474
ML1G133100	KOG3173
ML1G133200	KOG3336
ML1G133600	KOG0610
ML1G134000	KOG1745
ML1G134400	KOG1865
ML1G134800	KOG2742
ML1G134900	KOG1176
ML1G135200	KOG1187
ML1G135500	KOG2542
ML1G135700	KOG2866
ML1G137700	KOG1081
ML1G137800	KOG4718
ML1G138100	KOG0266
ML1G138400	KOG2484
ML1G138700	KOG0859
ML1G138900	KOG2567
ML1G139700	KOG1187
ML1G140400	KOG1187
ML1G141200	KOG4658
ML1G141300	KOG1187
ML1G141400	KOG0032
ML1G141900	KOG1752
ML1G142000	KOG1399
ML1G142400	KOG2947
ML1G143000	KOG1213
ML1G143300	KOG1187
ML1G143600	KOG0116
ML1G143800	KOG0121
ML1G143900	KOG1082
ML1G144000	KOG2903
ML1G144100	KOG0901
ML1G144300	KOG1187
ML1G144500	KOG2369
ML1G144700	KOG3205
ML1G144800	KOG1555
ML1G145100	KOG0632
ML1G145400	KOG3421
ML1G145800	KOG1339
ML1G146200	KOG3230
ML1G146700	KOG1735
ML1G146800	KOG2209
ML1G147500	KOG1568
ML1G147600	KOG1087
ML1G148000	KOG0594
ML1G148600	KOG4488
ML1G148800	KOG1735
ML1G149100	KOG0143
ML1G149300	KOG2088
ML1G149600	KOG2486
ML1G150100	KOG2190
ML1G150300	KOG1455
ML1G150400	KOG4579
ML1G150900	KOG2660
ML1G151100	KOG2662
ML1G151200	KOG0279
ML1G151200	KOG0316
ML1G152300	KOG0682
ML1G152400	KOG0027
ML1G152900	KOG2322
ML1G153000	KOG1602
ML1G153300	KOG3087
ML1G153400	KOG0565
ML1G154100	KOG3311
ML1G154200	KOG3424
ML1G154500	KOG3234
ML1G155300	KOG0270
ML1G155400	KOG0513
ML1G155800	KOG3020
ML1G156100	KOG0087
ML1G157500	KOG1674
ML1G158200	KOG3428
ML1G158300	KOG1339
ML1G158600	KOG1493
ML1G158800	KOG1651
ML1G159000	KOG1493
ML1G159400	KOG3043
ML1G159600	KOG1571
ML1G159900	KOG1571
ML1G160000	KOG1571
ML1G160200	KOG1571
ML1G160300	KOG0594
ML1G160900	KOG2690
ML1G161400	KOG1893
ML1G161600	KOG0192
ML1G161700	KOG4172
ML1G161900	KOG2109
ML1G162000	KOG4747
ML1G162900	KOG4658
ML1G163000	KOG2061
ML1G163600	KOG1515
ML1G163900	KOG2369
ML1G164000	KOG4658
ML1G164200	KOG1575
ML1G164300	KOG0374
ML1G164400	KOG0310
ML1G164700	KOG3454
ML1G164800	KOG0144
ML1G165400	KOG1965
ML1G165700	KOG0105
ML1G165900	KOG3158
ML1G166400	KOG0089
ML1G166500	KOG0601
ML1G166700	KOG1752
ML1G166800	KOG1752
ML1G166900	KOG1947
ML1G167100	KOG3434
ML1G167200	KOG1306
ML1G167800	KOG1683
ML1G168200	KOG3949
ML1G168500	KOG0651
ML1G169000	KOG2355
ML1G169600	KOG0011
ML1G169800	KOG4658
ML1G170200	KOG3433
ML1G170600	KOG2289
ML1G170800	KOG2502
ML1G171300	KOG3400
ML1G171500	KOG3442
ML1G171800	KOG1951
ML1G172000	KOG1748
ML1G172600	KOG1176
ML1G172700	KOG1718
ML1G173100	KOG4422
ML1G173500	KOG1187
ML1G173800	KOG0242
ML1G173900	KOG0156
ML1G174100	KOG2460
ML1G174200	KOG0265
ML1G174200	KOG0271
ML1G174200	KOG0295
ML1G174200	KOG0316
ML1G174400	KOG0265
ML1G174700	KOG3332
ML1G175400	KOG4658
ML1G175500	KOG2839
ML1G175600	KOG3316
ML1G175700	KOG1577
ML1G176100	KOG2679
ML1G176200	KOG2679
ML1G176300	KOG2679
ML1G176400	KOG1455
ML1G176500	KOG0565
ML1G176600	KOG2488
ML1G176900	KOG2881
ML1G177000	KOG0012
ML1G177600	KOG1192
ML1G177700	KOG0082
ML1G177900	KOG1843
ML1G178300	KOG0581
ML1G178800	KOG0211
ML1G179200	KOG3464
ML1G179900	KOG2159
ML1G180200	KOG2909
ML1G180400	KOG2909
ML1G180700	KOG0418
ML1G181000	KOG0551
ML1G181400	KOG0541
ML1G182200	KOG1845
ML1G182600	KOG1279
ML1G182900	KOG1205
ML1G183000	KOG1205
ML1G183500	KOG3121
ML1G183700	KOG2014
ML1G184000	KOG2849
ML1G184300	KOG2246
ML1G184500	KOG1603
ML1G184900	KOG4427
ML1G185900	KOG2624
ML1G186600	KOG1657
ML1G186700	KOG4658
ML1G186800	KOG1501
ML1G187900	KOG3078
ML1G188000	KOG1187
ML1G188600	KOG3246
ML1G188900	KOG3076
ML1G189100	KOG4658
ML1G189400	KOG0657
ML1G189500	KOG0157
ML1G189600	KOG3276
ML1G189700	KOG2570
ML1G189900	KOG1187
ML1G190100	KOG0594
ML1G190200	KOG1764
ML1G190900	KOG1137
ML1G191000	KOG1187
ML1G191200	KOG0594
ML1G191200	KOG0659
ML1G191400	KOG1176
ML1G191500	KOG1590
ML1G191600	KOG1474
ML1G191800	KOG1121
ML1G191900	KOG0594
ML1G192100	KOG1235
ML1G192200	KOG0888
ML1G192400	KOG2102
ML1G192700	KOG4308
ML1G193100	KOG4412
ML1G193300	KOG1269
ML1G193500	KOG4658
ML1G194000	KOG1030
ML1G194200	KOG0565
ML1G194300	KOG4198
ML1G194500	KOG1550
ML1G194600	KOG1604
ML1G194700	KOG0409
ML1G195000	KOG1294
ML1G195400	KOG1677
ML1G195500	KOG1187
ML1G196000	KOG4172
ML1G196400	KOG1563
ML1G196800	KOG1187
ML1G197100	KOG1030
ML1G197800	KOG1742
ML1G198100	KOG0027
ML1G198400	KOG0819
ML1G198500	KOG0552
ML1G198700	KOG3346
ML1G199100	KOG0279
ML1G199600	KOG0617
ML1G199800	KOG4698
ML1G200100	KOG0431
ML1G200200	KOG4698
ML1G200300	KOG4698
ML1G200700	KOG0594
ML1G201000	KOG0014
ML1G201100	KOG2345
ML1G201200	KOG1187
ML1G201300	KOG0880
ML1G201400	KOG4765
ML1G201700	KOG4172
ML1G202300	KOG0724
ML1G202400	KOG2624
ML1G202500	KOG1339
ML1G202800	KOG2338
ML1G203100	KOG2255
ML1G203200	KOG1187
ML1G203300	KOG1601
ML1G203900	KOG0541
ML1G205100	KOG2389
ML1G205200	KOG0048
ML1G205400	KOG4114
ML1G205600	KOG1644
ML1G205800	KOG2031
ML1G206000	KOG1620
ML1G206300	KOG1211
ML1G206600	KOG1764
ML1G207100	KOG1208
ML1G207300	KOG1205
ML1G207400	KOG1021
ML1G207900	KOG0251
ML1G208000	KOG3326
ML1G208300	KOG3484
ML1G208500	KOG0548
ML1G208800	KOG1947
ML1G209300	KOG0211
ML1G209600	KOG2815
ML1G209800	KOG1187
ML1G210300	KOG0845
ML1G210800	KOG3077
ML1G210900	KOG0324
ML1G211000	KOG2536
ML1G211300	KOG3184
ML1G211400	KOG0223
ML1G211800	KOG1187
ML1G211900	KOG1187
ML1G212000	KOG1187
ML1G212400	KOG0304
ML1G212600	KOG3406
ML1G212700	KOG3358
ML1G213200	KOG0583
ML1G213600	KOG1003
ML1G213600	KOG1853
ML1G213600	KOG4172
ML1G214100	KOG1430
ML1G214500	KOG1187
ML1G214600	KOG0198
ML1G215000	KOG0699
ML1G215200	KOG0242
ML1G215500	KOG0242
ML1G216000	KOG1187
ML1G216200	KOG1187
ML1G216900	KOG4658
ML1G217600	KOG1470
ML1G217700	KOG1003
ML1G218700	KOG1187
ML1G218900	KOG1339
ML1G219000	KOG3114
ML1G219300	KOG0266
ML1G219400	KOG1764
ML1G219700	KOG1600
ML1G219800	KOG4747
ML1G220500	KOG0143
ML1G220800	KOG1947
ML1G220900	KOG2743
ML1G221700	KOG2179
ML1G221800	KOG2179
ML1G221900	KOG3999
ML1G223200	KOG0034
ML1G223400	KOG0266
ML1G224800	KOG1187
ML1G225100	KOG1809
ML1G225900	KOG0157
ML1G227000	KOG3342
ML1G227300	KOG1714
ML1G227400	KOG2944
ML1G227600	KOG3137
ML1G227900	KOG2624
ML1G228800	KOG2112
ML1G228900	KOG1087
ML1G229100	KOG1187
ML1G229200	KOG3352
ML1G229300	KOG0133
ML1G229400	KOG0157
ML1G229800	KOG1187
ML1G230300	KOG1454
ML1G230400	KOG0233
ML1G231900	KOG2246
ML1G232300	KOG0143
ML1G232500	KOG0143
ML1G232700	KOG0143
ML1G232800	KOG1052
ML1G233000	KOG0143
ML1G233300	KOG0183
ML1G233400	KOG3126
ML1G233500	KOG0143
ML1G233800	KOG0143
ML1G234300	KOG1187
ML1G235200	KOG0853
ML1G236400	KOG2669
ML1G236700	KOG2878
ML1G238000	KOG4658
ML1G238300	KOG4697
ML1G238400	KOG0963
ML1G238400	KOG0978
ML1G239000	KOG1133
ML1G239800	KOG2497
ML1G239900	KOG1121
ML1G240200	KOG1121
ML1G240300	KOG1121
ML1G241400	KOG1990
ML1G241600	KOG0762
ML1G241700	KOG4658
ML1G241900	KOG2478
ML1G242300	KOG3475
ML1G242400	KOG2527
ML1G242600	KOG1187
ML1G242800	KOG0190
ML1G242900	KOG1542
ML1G242900	KOG1543
ML1G243100	KOG3430
ML1G243300	KOG0069
ML1G243500	KOG0069
ML1G244000	KOG1902
ML1G244600	KOG1740
ML1G244800	KOG1187
ML1G244900	KOG4673
ML1G245000	KOG0254
ML1G245100	KOG1187
ML1G245500	KOG1176
ML1G246100	KOG1379
ML1G246300	KOG0315
ML1G246400	KOG2814
ML1G246500	KOG0223
ML1G246600	KOG3309
ML1G246900	KOG3477
ML1G247400	KOG1187
ML1G247600	KOG0731
ML1G247800	KOG1187
ML1G248500	KOG4285
ML1G248700	KOG1601
ML1G248800	KOG1332
ML1G249400	KOG1164
ML1G249900	KOG0143
ML1G250600	KOG4747
ML1G250800	KOG1967
ML1G251200	KOG1187
ML1G251500	KOG1379
ML1G252600	KOG1755
ML1G253400	KOG4658
ML1G253500	KOG4658
ML1G253600	KOG2187
ML1G253700	KOG0198
ML1G254300	KOG1573
ML1G254400	KOG4658
ML1G255100	KOG4658
ML1G255600	KOG4018
ML1G255900	KOG3412
ML1G256100	KOG2513
ML1G256200	KOG3232
ML1G256300	KOG1754
ML1G256800	KOG3120
ML1G257600	KOG1187
ML1G257700	KOG1457
ML1G257800	KOG3142
ML1G258100	KOG0907
ML1G258400	KOG0157
ML1G259300	KOG2190
ML1G259500	KOG3233
ML1G260100	KOG1187
ML1G260800	KOG2501
ML1G261000	KOG1507
ML1G261100	KOG0106
ML1G261100	KOG0131
ML1G261500	KOG1719
ML1G261700	KOG3343
ML1G262500	KOG0724
ML1G262900	KOG3328
ML1G263300	KOG3324
ML1G263400	KOG2361
ML1G263500	KOG1187
ML1G263600	KOG0698
ML1G264100	KOG0765
ML1G264400	KOG1632
ML1G264700	KOG1744
ML1G265100	KOG0806
ML1G265300	KOG3181
ML1G265400	KOG1571
ML1G266300	KOG1142
ML1G266800	KOG1454
ML1G267100	KOG3334
ML1G267400	KOG1187
ML1G268100	KOG2399
ML1G268500	KOG4658
ML1G268900	KOG2344
ML1G269200	KOG0406
ML1G269400	KOG1782
ML1G269500	KOG2344
ML1G269600	KOG2344
ML1G269800	KOG1187
ML1G270300	KOG0148
ML1G273800	KOG0176
ML1G274400	KOG2188
ML1G274500	KOG0894
ML1G274700	KOG4172
ML1G275200	KOG4539
ML1G275500	KOG1187
ML1G275600	KOG0029
ML1G275800	KOG1187
ML1G276000	KOG1397
ML1G276100	KOG0581
ML1G277200	KOG1187
ML1G277500	KOG1187
ML1G277900	KOG1052
ML1G278000	KOG1052
ML1G278100	KOG1052
ML1G278200	KOG1052
ML1G278300	KOG1052
ML1G278400	KOG1052
ML1G278600	KOG1052
ML1G278700	KOG1052
ML1G278800	KOG1052
ML1G278900	KOG1052
ML1G279000	KOG1052
ML1G279200	KOG1052
ML1G279500	KOG1052
ML1G279700	KOG3495
ML1G279800	KOG3163
ML1G280300	KOG3184
ML1G280400	KOG1485
ML1G280700	KOG1239
ML1G280900	KOG0799
ML1G281000	KOG3374
ML1G281100	KOG0379
ML1G281900	KOG1435
ML1G282000	KOG4282
ML1G282100	KOG3410
ML1G282500	KOG1488
ML1G282600	KOG0752
ML1G282700	KOG1801
ML1G283300	KOG1187
ML1G283400	KOG2761
ML1G283500	KOG0253
ML1G283600	KOG1014
ML1G283700	KOG2422
ML1G284200	KOG2238
ML1G284400	KOG0223
ML1G284500	KOG1187
ML1G284800	KOG0157
ML1G285100	KOG0022
ML1G285300	KOG4529
ML1G285500	KOG4762
ML1G286900	KOG0698
ML1G287200	KOG4658
ML1G288700	KOG4658
ML1G289000	KOG1311
ML1G289100	KOG2760
ML1G289200	KOG0508
ML1G289200	KOG4214
ML1G289200	KOG4412
ML1G289300	KOG4042
ML1G290000	KOG0293
ML1G290600	KOG0255
ML1G290700	KOG4358
ML1G290900	KOG1691
ML1G291800	KOG4205
ML1G291900	KOG0651
ML1G292800	KOG2624
ML1G293100	KOG1579
ML1G293600	KOG1801
ML1G294100	KOG1575
ML1G294200	KOG1619
ML1G294500	KOG0048
ML1G295000	KOG1801
ML1G297100	KOG2056
ML1G298000	KOG0723
ML1G298300	KOG3818
ML1G298400	KOG0048
ML1G298500	KOG1972
ML1G298600	KOG0671
ML1G298800	KOG1577
ML1G299000	KOG1308
ML1G299100	KOG0061
ML1G299200	KOG2914
ML1G299700	KOG0989
ML1G300700	KOG0620
ML1G301200	KOG2369
ML1G301600	KOG0048
ML1G301700	KOG1515
ML1G302000	KOG1778
ML1G302100	KOG0223
ML1G302200	KOG1635
ML1G302300	KOG1542
ML1G302300	KOG1543
ML1G302600	KOG1543
ML1G302700	KOG0682
ML1G302800	KOG4658
ML1G303000	KOG1187
ML1G303200	KOG1187
ML1G303400	KOG1407
ML1G303500	KOG1187
ML1G303600	KOG1661
ML1G303700	KOG1661
ML1G303800	KOG1661
ML1G303900	KOG1661
ML1G304000	KOG1661
ML1G304100	KOG0131
ML1G304200	KOG4658
ML1G304400	KOG4658
ML1G304800	KOG4201
ML1G305000	KOG4172
ML1G305200	KOG0156
ML1G305500	KOG0156
ML1G305600	KOG0156
ML1G306500	KOG1698
ML1G307000	KOG0744
ML1G307500	KOG0617
ML1G307600	KOG1032
ML1G308000	KOG1187
ML1G308100	KOG0039
ML1G308400	KOG1742
ML1G308600	KOG4522
ML1G308700	KOG0048
ML1G309700	KOG2991
ML1G309900	KOG1208
ML1G310000	KOG4657
ML1G310100	KOG2131
ML1G310300	KOG4293
ML1G310400	KOG1470
ML1G310600	KOG1386
ML1G310900	KOG3373
ML1G311100	KOG0472
ML1G311500	KOG1752
ML1G311600	KOG1438
ML1G311700	KOG2502
ML1G311800	KOG4608
ML1G312700	KOG2352
ML1G312900	KOG2352
ML1G313100	KOG2352
ML1G313400	KOG2352
ML1G314500	KOG1100
ML1G314600	KOG1441
ML1G314700	KOG0048
ML1G314800	KOG3035
ML1G315100	KOG3361
ML1G315200	KOG4658
ML1G315300	KOG4658
ML1G315500	KOG0698
ML1G316500	KOG0581
ML1G316900	KOG2629
ML1G317000	KOG0192
ML1G317100	KOG1381
ML1G318100	KOG0192
ML1G318200	KOG1623
ML1G318500	KOG1192
ML1G319600	KOG1886
ML1G319700	KOG1320
ML1G320600	KOG1700
ML1G321800	KOG0271
ML1G322000	KOG2586
ML1G322100	KOG2578
ML1G322900	KOG3093
ML1G323100	KOG0598
ML1G323700	KOG2662
ML1G324500	KOG2068
ML1G325600	KOG3430
ML1G325800	KOG0048
ML1G326000	KOG0876
ML1G326100	KOG2287
